,total_ret,ann_ret,ann_vol,sharpe,sortino,max_dd,calmar,win_rate,pnl_ratio,n_trades,alpha
v4.2_timing_N20,-0.040084838181383975,-0.014099945626910637,0.06326831428112899,-0.22285951170215107,-0.2593064293028878,-0.0991250379003054,-0.14224403768795124,0.5048275862068966,0.938441052815793,0.0,
v4.2_notiming_N20,-0.05477251054039456,-0.019362531571757713,0.05963264985981759,-0.3246968165472186,-0.3424983344455055,-0.06203190192199232,-0.3121382864595526,0.5075862068965518,0.9045939174527406,0.0,
v4.2_timing_N10,0.20208076558699162,0.06597142716929971,0.11138709181137528,0.5922717443868344,0.8191245289446367,-0.09570675729558134,0.6893079342930107,0.5144827586206897,1.080832547413805,0.0,-0.18207447740320037
