,总收益率,年化收益率,基准年化,超额年化,年化波动率,夏普比率,Sortino,最大回撤,卡玛比率,日胜率,盈亏比,Alpha,Beta,信息比率,VaR95,CVaR95,回测年数
最优-n8-mon,0.1867944758105764,0.04228663505789054,0.047759759145097336,-0.005473124087206793,0.08587505099338429,0.25952397745980377,0.43700323334962354,-0.1931585441976321,0.21892189886017388,0.5038387715930902,1.0613148600667697,0.020239646331667034,0.073739426755258,-0.10935409063764734,-0.00862508186431284,-0.010787738377633412,4.134920634920635
次优-n8-mon,0.1430365507547191,0.03285988548689933,0.047759759145097336,-0.014899873658198004,0.08556762921104828,0.1502891391894466,0.2509975960794155,-0.20690195736859926,0.15881863112187736,0.4990403071017274,1.0647406586487644,0.010612038223449,0.08097502761825386,-0.15411021271595637,-0.008479515341072585,-0.01082808115394991,4.134920634920635
固定权重-对照,0.6209633421484673,0.12391145263378833,0.047759759145097336,0.076151693488691,0.08120609714364259,1.2796015940820484,2.2264730997583078,-0.1299636906061481,0.9534313238512931,0.519193857965451,1.1630785812971804,0.10186314150055797,0.07378706430859303,0.2516346025644555,-0.007658319345134157,-0.009923256888805514,4.134920634920635
无止损-对照,0.060745443051903436,0.014364106841359803,0.047759759145097336,-0.03339565230373753,0.08677809016684737,-0.0649460374486012,-0.10487162005202695,-0.2605123408571716,0.05513791342565601,0.5230326295585412,0.9425345172067111,-0.00780109646211086,0.07799791389231348,-0.23938996253540992,-0.009301482210731692,-0.011730828154901783,4.134920634920635
